game,uid,id,game_start,utt_time,context,utt,old_plan,new_plan,new_plan_correction,anno,int_type,anno_explain,anno_manual_plan_correction,anno_needs_dlg,anno_couldbesolved_by_reasoning,notes
cff3f445ee91e6a7_ecab,A1,62,20250613-132251,20250613-133450,"{'oids': ['potato_0', 'cabinet_0', 'potato_1'], 'summary': ['potato_0 is PickedUp,   ; ', 'cabinet_0 is Open,   is on top of a Floor ; ', 'potato_1  is inside a Cabinet ; '], 'holding': 'potato_0', 'visual': 'Potato; ButterKnife; Drawer; Cabinet; Sink; CounterTop; CounterTop; Drawer; Drawer; Cabinet; Cabinet; Cabinet; Cabinet; Floor; Toaster; Pot; SinkBasin; CoffeeMachine; ButterKnife; GarbageCan'}",go to the potato that is in the cabinet,"[{'command': 'Place(potato_0, countertop_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Go_to(cabinet_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Pick_up(potato_1)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Place(potato_0, countertop_0)', 'Go_to(cabinet_0)', 'Pick_up(potato_1)']",Go_to(potato_1),user,IN_CONTEXT_BEFORE_INITIAL,The user asks me to go to the potato_1. I am already holding the potato_0. I will keep holding potato_0 and walk to potato_1,OK,,,
cff3f445ee91e6a7_ecab,A1,64,20250613-132251,20250613-133534,"{'oids': ['potato_0', 'cabinet_0', 'potato_1'], 'summary': ['potato_0 is PickedUp,   ; ', 'cabinet_0 is Open,   is on top of a Floor ; ', 'potato_1  is inside a Cabinet ; '], 'holding': 'potato_0', 'visual': 'Potato; Egg; Fork; Plate; SoapBottle; Cabinet; Cabinet; Sink; CounterTop; Drawer; Drawer; Cabinet; Drawer; Cabinet; Cabinet; Window; Microwave; Lettuce; SinkBasin; SaltShaker; Spoon; Faucet'}",open the cabinet,"[{'command': 'Go_to(potato_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Place(potato_0, cabinet_0)', 'Open(cabinet_0)']",Open(cabinet_1),user,IN_CONTEXT_AFTER_FINAL_SUCCESS,cabinet_0 is already open; open another cabinet,OK,,,
cff3f445ee91e6a7_ecab,A1,66,20250613-132251,20250613-133611,"{'oids': ['potato_0', 'cabinet_0', 'potato_1', 'cabinet_1'], 'summary': ['potato_0 is PickedUp,   ; ', 'cabinet_0 is Open,   is on top of a Floor ; ', 'potato_1  is inside a Cabinet ; ', 'cabinet_1 is Open,   is on top of a Floor , has inside Bowl; '], 'holding': 'potato_0', 'visual': 'Potato; Egg; Fork; Plate; SoapBottle; Cabinet; Cabinet; Sink; CounterTop; Drawer; Drawer; Cabinet; Drawer; Cabinet; Cabinet; Bowl; Window; Microwave; SinkBasin; Spoon; Faucet'}",try another cabinet,"[{'command': 'Open(cabinet_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Place(potato_0, cabinet_1)', 'Open(cabinet_2)']",Open(cabinet_2),user,IN_CONTEXT_AFTER_FINAL_SUCCESS,cabinet_0 and cabinet_1 are already open. I will try cabinet_2,OK,,,
cff3f445ee91e6a7_ecab,A1,74,20250613-132251,20250613-134243,"{'oids': ['potato_0', 'cabinet_0', 'potato_1', 'cabinet_1', 'cabinet_2', 'cabinet_3', 'cabinet_4'], 'summary': ['potato_0 is PickedUp,   ; ', 'cabinet_0 is Open,   is on top of a Floor ; ', 'potato_1  is on top of a cabinet_4 ; ', 'cabinet_1 is Open,   is on top of a Floor , has inside Bowl; ', 'cabinet_2 is Open,   is on top of a Floor , has inside Lettuce; ', 'cabinet_3 is Open,   is on top of a Floor , has inside Plate; ', 'cabinet_4 is Open,   , has inside Potato, Fork, Knife; '], 'holding': 'potato_0', 'visual': 'Potato; Lettuce; Fork; Egg; Plate; Fork; Plate; Potato; SoapBottle; Cabinet; Cabinet; Sink; CounterTop; Drawer; Drawer; Cabinet; Drawer; Cabinet; Cabinet; Knife; Bowl; Microwave; SinkBasin; Spoon'}",put the potato in the cabinet with another potato,"[{'command': 'Place(potato_0, cabinet_4)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Pick_up(potato_1)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Place(potato_0, cabinet_4)', 'Pick_up(potato_1)', 'Place(potato_1, cabinet_4)']","Place(potato_0, cabinet_4)",user,IN_CONTEXT_BEFORE_INITIAL,ignore current plan and follow the instruction,OK,YES,,need to get the previous user utt which was 'objects'
66fecce3c339dad8_84ba,A1,89,20250613-134841,20250613-135112,"{'oids': ['pot_0', 'sinkbasin_0', 'countertop_0'], 'summary': ['pot_0 is Dirty,   is on top of a countertop_0 ; ', 'sinkbasin_0  , has inside Mug, Apple, CounterTop, PepperShaker; ', 'countertop_0  is on top of a sinkbasin_0 , has on top SoapBottle, Pot, Microwave, Faucet, SaltShaker, Tomato; '], 'holding': None, 'visual': 'Mug; Pot; Apple; Drawer; Cabinet; Cabinet; Cabinet; Cabinet; CounterTop; Sink; Drawer; Spatula; SinkBasin; PepperShaker; Microwave; SoapBottle; Faucet'}",take the cup and pour water into the pot,"[{'command': 'Place(pot_0, countertop_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Pick_up(cup_0)', 'Go_to(sinkbasin_0)', 'Toggle_on(faucet_0)', 'Pour(cup_0, pot_0)', 'Toggle_off(faucet_0)']","Pick_up(cup_0);Pour(cup_0,pot_0)",user,IN_CONTEXT_AFTER_FINAL_SUCCESS,,UNCLEAR,,,"the cup is not in the state, so we don't know if it has water. If we had visual and could see that the cup has water, the correction makes sense, otherwise the LLM-generated plan is correct"
66fecce3c339dad8_84ba,A1,95,20250613-134841,20250613-135505,"{'oids': ['pot_0', 'sinkbasin_0', 'countertop_0', 'cup_0', 'mug_0'], 'summary': ['pot_0 is FilledWithLiquid,  is Dirty,   is on top of a countertop_0 ; ', 'sinkbasin_0  , has inside Cup, Apple, CounterTop, PepperShaker; ', 'countertop_0  is on top of a sinkbasin_0 , has on top SoapBottle, Pot, Microwave, Faucet, SaltShaker, Tomato; ', 'cup_0 is FilledWithLiquid,   is on top of a sinkbasin_0 ; ', 'mug_0 is PickedUp,   ; '], 'holding': 'mug_0', 'visual': 'Mug; Pot; Cup; Apple; Cabinet; Cabinet; Cabinet; CounterTop; Sink; Drawer; Drawer; GarbageCan; Spatula; SinkBasin; PepperShaker; SoapBottle; Faucet'}",empty the pot,"[{'command': 'Pour(mug_0, pot_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Pick_up(pot_0)', 'Pour(pot_0, sinkbasin_0)', 'Place(pot_0, countertop_0)']","Place(mug_0,countertop_0);Pick_up(pot_0);Pour(pot_0, sinkbasin_0);Place(pot_0, countertop_0)",user,IN_CONTEXT_AFTER_FINAL_SUCCESS,place down the cup I am holding and then empty the pot,OK,,,
66fecce3c339dad8_84ba,A1,103,20250613-134841,20250613-140100,"{'oids': ['pot_0', 'sinkbasin_0', 'countertop_0', 'cup_0', 'mug_0', 'pot_1', 'countertop_1'], 'summary': ['pot_0 is Dirty,   is on top of a countertop_0 ; ', 'sinkbasin_0  , has inside Cup, Apple, CounterTop, PepperShaker; ', 'countertop_0  is on top of a sinkbasin_0 , has on top Mug, SoapBottle, Pot, Microwave, Faucet, SaltShaker, Tomato; ', 'cup_0 is FilledWithLiquid,   is on top of a sinkbasin_0 ; ', 'mug_0  is on top of a countertop_0 ; ', 'pot_1 is PickedUp,   ; ', 'countertop_1  , has on top Mug, CoffeeMachine, Egg; '], 'holding': 'pot_1', 'visual': 'Bread; CounterTop; Floor; Fridge; CoffeeMachine; DishSponge; Pot; Mug; DiningTable'}",use the stove,"[{'command': 'Place(pot_1, countertop_1)', 'status': 'SubgoalStatus.FAILED'}]","['Place(pot_1, countertop_0)', 'Go_to(stoveburner_0)', 'Place(pot_1, stoveburner_0)']","Place(pot_1, stoveburner_0)",user,IN_CONTEXT_AFTER_FINAL_FAILED,place the pot I am holding on the stove burner instead of the countertop,OK,,,
66fecce3c339dad8_84ba,A1,107,20250613-134841,20250613-140224,"{'oids': ['pot_0', 'sinkbasin_0', 'countertop_0', 'cup_0', 'mug_0', 'pot_1', 'countertop_1', 'stoveburner_0'], 'summary': ['pot_0 is Dirty,   is on top of a countertop_0 ; ', 'sinkbasin_0  , has inside Cup, Apple, PepperShaker, CounterTop; ', 'countertop_0  is on top of a sinkbasin_0 , has on top Mug, SoapBottle, Pot, Microwave, Faucet, SaltShaker, Tomato; ', 'cup_0 is FilledWithLiquid,   is on top of a sinkbasin_0 ; ', 'mug_0  is on top of a countertop_0 ; ', 'pot_1 is PickedUp,   ; ', 'countertop_1  , has on top Mug, CoffeeMachine, Egg; ', 'stoveburner_0  ; '], 'holding': 'pot_1', 'visual': 'DishSponge; Mug; StoveBurner; StoveBurner; Floor; StoveKnob; StoveKnob; StoveKnob; StoveKnob; Toaster; Knife; SaltShaker; Pot; DiningTable'}",another stoveburner,"[{'command': 'Place(pot_1, countertop_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Pick_up(stoveburner_1)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Place(pot_1, countertop_0)', 'Pick_up(stoveburner_1)']",place(pot_1;stoveburner_1),user,IN_CONTEXT_BEFORE_INITIAL,,"['Place(pot_1,stoveburner_1)']",,,
66fecce3c339dad8_84ba,A1,110,20250613-134841,20250613-140325,"{'oids': ['pot_0', 'sinkbasin_0', 'countertop_0', 'cup_0', 'mug_0', 'pot_1', 'countertop_1', 'stoveburner_0', 'stoveburner_1'], 'summary': ['pot_0 is Dirty,   is on top of a countertop_0 ; ', 'sinkbasin_0  , has inside Cup, Apple, PepperShaker, CounterTop; ', 'countertop_0  is on top of a sinkbasin_0 , has on top Mug, SoapBottle, Pot, Microwave, Faucet, SaltShaker, Tomato; ', 'cup_0 is FilledWithLiquid,   is on top of a sinkbasin_0 ; ', 'mug_0  is on top of a countertop_0 ; ', 'pot_1  is on top of a stoveburner_1 ; ', 'countertop_1  , has on top Mug, CoffeeMachine, Egg; ', 'stoveburner_0  ; ', 'stoveburner_1  , has on top Pot; '], 'holding': None, 'visual': 'StoveBurner; Floor; Toaster; Lettuce; Knife; Pan; DiningTable'}",get another pot,"[{'command': 'Place(pot_1, stoveburner_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]",['Pick_up(pot_1)'],Pick_up(pot_1),user,IN_CONTEXT_AFTER_FINAL_SUCCESS,the user refers to a pot that is different from the one I just handled,['Pick_up(pot_2)'],,,
a271344397d0507c_5376,A1,114,20250613-144428,20250613-144538,"{'oids': ['knife_0', 'bread_0'], 'summary': ['knife_0 is PickedUp,   ; ', 'bread_0  ; '], 'holding': 'knife_0', 'visual': 'BreadSliced; BreadSliced; BreadSliced; BreadSliced; BreadSliced; Bread; Cup; Egg; SaltShaker; Tomato; Egg; Cup; WineBottle; Tomato; Floor; Knife; Window; Lettuce; Blinds; DiningTable'}",take the slice of bread and put it in the toaster,"[{'command': 'Pick_up(knife_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Slice(bread_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Pick_up(breadsliced_0)', 'Place(breadsliced_0, toaster_0)']","Place(Knife_0,diningtable_0);Pick_up(breadsliced_0);Place(breadsliced_0, toaster_0)",user,IN_CONTEXT_AFTER_FINAL_SUCCESS,"first, place the knife I am holding, and follow the instruction",OK,,,
