,game,utt_id,game_start,utt_time,intent,int_type,oids,summary,holding,old_plan,corrected plan,anno_explain,utt
0,cff3f445ee91e6a7_ecab,62,20250613-132251,20250613-133450,Command,IN_CONTEXT_BEFORE_INITIAL,"['potato_1', 'cabinet_0', 'potato_0']","['potato_0 is PickedUp,   ; ', 'cabinet_0 is Open,   is on top of a Floor ; ', 'potato_1  is inside a Cabinet ; ']",potato_0,"[{'command': 'Place(potato_0, countertop_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Go_to(cabinet_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Pick_up(potato_1)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]",['Go_to(potato_1)'],The user asks me to go to the potato_1. I am already holding the potato_0. I will keep holding potato_0 and walk to potato_1,go to the potato that is in the cabinet
1,cff3f445ee91e6a7_ecab,64,20250613-132251,20250613-133534,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['potato_1', 'cabinet_0', 'potato_0']","['potato_0 is PickedUp,   ; ', 'cabinet_0 is Open,   is on top of a Floor ; ', 'potato_1  is inside a Cabinet ; ']",potato_0,"[{'command': 'Go_to(potato_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]",['Open(cabinet_1)'],cabinet_0 is already open; open another cabinet,open the cabinet
2,cff3f445ee91e6a7_ecab,66,20250613-132251,20250613-133611,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['potato_1', 'cabinet_0', 'potato_0', 'cabinet_1']","['potato_0 is PickedUp,   ; ', 'cabinet_0 is Open,   is on top of a Floor ; ', 'potato_1  is inside a Cabinet ; ', 'cabinet_1 is Open,   is on top of a Floor , has inside Bowl; ']",potato_0,"[{'command': 'Open(cabinet_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]",['Open(cabinet_2)'],cabinet_0 and cabinet_1 are already open. I will try cabinet_2,try another cabinet
3,cff3f445ee91e6a7_ecab,74,20250613-132251,20250613-134243,Command,IN_CONTEXT_BEFORE_INITIAL,"['cabinet_4', 'potato_0', 'cabinet_1', 'potato_1', 'cabinet_0', 'cabinet_3', 'cabinet_2']","['potato_0 is PickedUp,   ; ', 'cabinet_0 is Open,   is on top of a Floor ; ', 'potato_1  is on top of a cabinet_4 ; ', 'cabinet_1 is Open,   is on top of a Floor , has inside Bowl; ', 'cabinet_2 is Open,   is on top of a Floor , has inside Lettuce; ', 'cabinet_3 is Open,   is on top of a Floor , has inside Plate; ', 'cabinet_4 is Open,   , has inside Potato, Fork, Knife; ']",potato_0,"[{'command': 'Place(potato_0, cabinet_4)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Pick_up(potato_1)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Place(potato_0, cabinet_4)']",ignore current plan and follow the instruction,put the potato in the cabinet with another potato
4,66fecce3c339dad8_84ba,95,20250613-134841,20250613-135505,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['mug_0', 'pot_0', 'sinkbasin_0', 'cup_0', 'countertop_0']","['pot_0 is FilledWithLiquid,  is Dirty,   is on top of a countertop_0 ; ', 'sinkbasin_0  , has inside Cup, Apple, CounterTop, PepperShaker; ', 'countertop_0  is on top of a sinkbasin_0 , has on top SoapBottle, Pot, Microwave, Faucet, SaltShaker, Tomato; ', 'cup_0 is FilledWithLiquid,   is on top of a sinkbasin_0 ; ', 'mug_0 is PickedUp,   ; ']",mug_0,"[{'command': 'Pour(mug_0, pot_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Place(mug_0,countertop_0)', 'Pick_up(pot_0)', 'Pour(pot_0, sinkbasin_0)', 'Place(pot_0, countertop_0)']",place down the cup I am holding and then empty the pot,empty the pot
5,66fecce3c339dad8_84ba,103,20250613-134841,20250613-140100,Command,IN_CONTEXT_AFTER_FINAL_FAILED,"['mug_0', 'pot_1', 'countertop_1', 'pot_0', 'sinkbasin_0', 'cup_0', 'countertop_0']","['pot_0 is Dirty,   is on top of a countertop_0 ; ', 'sinkbasin_0  , has inside Cup, Apple, CounterTop, PepperShaker; ', 'countertop_0  is on top of a sinkbasin_0 , has on top Mug, SoapBottle, Pot, Microwave, Faucet, SaltShaker, Tomato; ', 'cup_0 is FilledWithLiquid,   is on top of a sinkbasin_0 ; ', 'mug_0  is on top of a countertop_0 ; ', 'pot_1 is PickedUp,   ; ', 'countertop_1  , has on top Mug, CoffeeMachine, Egg; ']",pot_1,"[{'command': 'Place(pot_1, countertop_1)', 'status': 'SubgoalStatus.FAILED'}]","['Place(pot_1, stoveburner_0)']",place the pot I am holding on the stove burner instead of the countertop,use the stove
6,66fecce3c339dad8_84ba,107,20250613-134841,20250613-140224,Command,IN_CONTEXT_BEFORE_INITIAL,"['mug_0', 'pot_1', 'countertop_1', 'pot_0', 'sinkbasin_0', 'cup_0', 'stoveburner_0', 'countertop_0']","['pot_0 is Dirty,   is on top of a countertop_0 ; ', 'sinkbasin_0  , has inside Cup, Apple, PepperShaker, CounterTop; ', 'countertop_0  is on top of a sinkbasin_0 , has on top Mug, SoapBottle, Pot, Microwave, Faucet, SaltShaker, Tomato; ', 'cup_0 is FilledWithLiquid,   is on top of a sinkbasin_0 ; ', 'mug_0  is on top of a countertop_0 ; ', 'pot_1 is PickedUp,   ; ', 'countertop_1  , has on top Mug, CoffeeMachine, Egg; ', 'stoveburner_0  ; ']",pot_1,"[{'command': 'Place(pot_1, countertop_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Pick_up(stoveburner_1)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Place(pot_1,stoveburner_1)']",,another stoveburner
7,66fecce3c339dad8_84ba,110,20250613-134841,20250613-140325,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['mug_0', 'stoveburner_1', 'pot_1', 'countertop_1', 'pot_0', 'sinkbasin_0', 'cup_0', 'stoveburner_0', 'countertop_0']","['pot_0 is Dirty,   is on top of a countertop_0 ; ', 'sinkbasin_0  , has inside Cup, Apple, PepperShaker, CounterTop; ', 'countertop_0  is on top of a sinkbasin_0 , has on top Mug, SoapBottle, Pot, Microwave, Faucet, SaltShaker, Tomato; ', 'cup_0 is FilledWithLiquid,   is on top of a sinkbasin_0 ; ', 'mug_0  is on top of a countertop_0 ; ', 'pot_1  is on top of a stoveburner_1 ; ', 'countertop_1  , has on top Mug, CoffeeMachine, Egg; ', 'stoveburner_0  ; ', 'stoveburner_1  , has on top Pot; ']",,"[{'command': 'Place(pot_1, stoveburner_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]",['Pick_up(pot_2)'],the user refers to a pot that is different from the one I just handled,get another pot
8,a271344397d0507c_5376,114,20250613-144428,20250613-144538,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['knife_0', 'bread_0']","['knife_0 is PickedUp,   ; ', 'bread_0  ; ']",knife_0,"[{'command': 'Pick_up(knife_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Slice(bread_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Place(Knife_0,diningtable_0)', 'Pick_up(breadsliced_0)', 'Place(breadsliced_0, toaster_0)']","first, place the knife I am holding, and follow the instruction",take the slice of bread and put it in the toaster
9,a271344397d0507c_5376,126,20250613-144428,20250613-145315,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['toaster_0', 'plate_1', 'diningtable_0', 'bread_0', 'sinkbasin_0', 'knife_0', 'breadsliced_0', 'plate_0', 'countertop_0']","['knife_0  is on top of a diningtable_0 ; ', 'bread_0  ; ', 'diningtable_0  is on top of a Floor , has on top Bread, Bread, Bread, Bread, Bread, Lettuce, Tomato, SaltShaker, Cup, Knife, Cup, Egg, WineBottle, Tomato, Egg, Plate; ', 'breadsliced_0 is Cooked,   is on top of a countertop_0 and on top of a toaster_0 ; ', 'toaster_0 is Toggled,   is on top of a countertop_0 , has on top Bread; ', 'plate_0 is Dirty,   is on top of a countertop_0 , has on top Apple; ', 'sinkbasin_0  , has inside Spatula, ButterKnife, SaltShaker; ', 'countertop_0  , has on top Apple, Potato, DishSponge, Mug, CoffeeMachine, Pan, Lettuce, Toaster, Bread, Plate, Tomato, Fork, SoapBottle, SaltShaker; ', 'plate_1  is on top of a diningtable_0 ; ']",,"[{'command': 'Place(plate_1, diningtable_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Pick_up(breadsliced_0)', 'Place(breadsliced_0,plate_1)']",use the most recently discussed and clean plate,take the bread slice from the toaster and put it on the plate
